"Title","SubTitle"
"Phase S11",""
"Parameter Name","Setting"
"Resolution:","551"
"CAL:","On, FlexCal"
"Dither: ","OFF"
"IFBW:","N/A"
"Smoothing %: ","OFF"
"Date:","Friday, May 19, 2017"
"Time:","12:20:40 PM"
"Model:","MS2024A"
"Serial:","847019"
"Prop.Vel:","1.000"
"Marker Data"
"Marker","Frequency(MHz)","Value"
"Limit Off"
"Point Data"
"Frequency(MHz)","Phase S11"
"50","-17.0825965613529"
"50.363637","-17.2264566024358"
"50.727273","-17.3739695491178"
"51.09091","-17.497244877937"
"51.454546","-17.6094845884421"
"51.818182","-17.7343203564572"
"52.181819","-17.8402376024229"
"52.545455","-17.9451616898947"
"52.909091","-18.0556792039542"
"53.272728","-18.1758203627466"
"53.636364","-18.3186257584077"
"54","-18.4326978234214"
"54.363637","-18.5506983751198"
"54.727273","-18.6637348866891"
"55.09091","-18.7945265670511"
"55.454546","-18.9324554837033"
"55.818182","-19.0643628640102"
"56.181819","-19.195460358948"
"56.545455","-19.3414660649832"
"56.909091","-19.4740845764884"
"57.272728","-19.5967059415935"
"57.636364","-19.7461758954333"
"58","-19.8778523969301"
"58.363637","-20.0018716067595"
"58.727273","-20.107330717741"
"59.09091","-20.2518109306054"
"59.454546","-20.3742840400046"
"59.818182","-20.5002470585024"
"60.181819","-20.6196146072636"
"60.545455","-20.7314609954907"
"60.909091","-20.8639075073253"
"61.272728","-20.988692734273"
"61.636364","-21.1103876934393"
"62","-21.2566715248426"
"62.363637","-21.3893817129003"
"62.727273","-21.519073802477"
"63.09091","-21.6298264752387"
"63.454546","-21.7173101038246"
"63.818182","-21.8372973920605"
"64.181819","-21.9345430983923"
"64.545455","-22.0353262836943"
"64.909091","-22.1747012004146"
"65.272728","-22.2952061476961"
"65.636364","-22.4323396731182"
"66","-22.5443282720349"
"66.363637","-22.6687243199418"
"66.727273","-22.8032013254378"
"67.09091","-22.9400735183897"
"67.454546","-23.0932475449451"
"67.818182","-23.2550128770168"
"68.181819","-23.3979178773596"
"68.545455","-23.550820706308"
"68.909091","-23.6861118670139"
"69.272728","-23.8056831829057"
"69.636364","-23.9256915860891"
"70","-24.0435952361026"
"70.363637","-24.1944805325888"
"70.727273","-24.3229501561967"
"71.09091","-24.4632346301058"
"71.454546","-24.5943844741752"
"71.818182","-24.7009979398174"
"72.181819","-24.8343728964237"
"72.545455","-24.9679903419143"
"72.909091","-25.0989833719797"
"73.272728","-25.2351253527808"
"73.636364","-25.3577871958204"
"74","-25.4709184015892"
"74.363637","-25.5936295060761"
"74.727273","-25.6810629075873"
"75.09091","-25.7697218910559"
"75.454546","-25.8866273164695"
"75.818182","-25.9646829973817"
"76.181819","-26.071580560428"
"76.545455","-26.1865179599248"
"76.909091","-26.2954707372186"
"77.272728","-26.3879688933557"
"77.636364","-26.4996382014469"
"78","-26.6104189479696"
"78.363637","-26.7455722407719"
"78.727273","-26.8656711009583"
"79.09091","-27.0221105637863"
"79.454546","-27.1830497496505"
"79.818182","-27.3026013464092"
"80.181819","-27.4452363782097"
"80.545455","-27.5562059407593"
"80.909091","-27.6822415673394"
"81.272728","-27.8008448098148"
"81.636364","-27.9495446363651"
"82","-28.0933107711996"
"82.363637","-28.2350483466642"
"82.727273","-28.3688345387235"
"83.09091","-28.4971753427751"
"83.454546","-28.6394414968499"
"83.818182","-28.76675666061"
"84.181819","-28.8980871543149"
"84.545455","-29.0475559748569"
"84.909091","-29.1914771090298"
"85.272728","-29.3027391925023"
"85.636364","-29.4255324338653"
"86","-29.5345313773521"
"86.363637","-29.6370293532066"
"86.727273","-29.7627128480248"
"87.09091","-29.8805306229011"
"87.454546","-29.9738101170015"
"87.818182","-30.0842738336822"
"88.181819","-30.1970605775224"
"88.545455","-30.3027618863903"
"88.909091","-30.4002255614396"
"89.272728","-30.5129750834644"
"89.636364","-30.6388683359433"
"90","-30.778367504919"
"90.363637","-30.929045947744"
"90.727273","-31.0510625684993"
"91.09091","-31.2003063889239"
"91.454546","-31.2874158623802"
"91.818182","-31.380039494385"
"92.181819","-31.4961912996556"
"92.545455","-31.6173507029722"
"92.909091","-31.7640404050392"
"93.272728","-31.8965394898309"
"93.636364","-32.020981781985"
"94","-32.154336711962"
"94.363637","-32.2967611717932"
"94.727273","-32.4333790766121"
"95.09091","-32.5726873714898"
"95.454546","-32.7302329261308"
"95.818182","-32.8728918362484"
"96.181819","-33.01769307603"
"96.545455","-33.1698559469084"
"96.909091","-33.2918846982291"
"97.272728","-33.410052877885"
"97.636364","-33.5339654269185"
"98","-33.643782460059"
"98.363637","-33.7918876841454"
"98.727273","-33.9230018319326"
"99.09091","-34.0401517019078"
"99.454546","-34.1525804043029"
"99.818182","-34.2735579457335"
"100.181819","-34.4164619298797"
"100.545455","-34.5307835151589"
"100.909091","-34.7033801160002"
"101.272728","-34.8240405053694"
"101.636364","-34.9806448357987"
"102","-35.1418717922576"
"102.363637","-35.2721516390783"
"102.727273","-35.3833240767206"
"103.09091","-35.4693164129488"
"103.454546","-35.5799149128442"
"103.818182","-35.7179153189354"
"104.181819","-35.8392225082618"
"104.545455","-35.9717906322414"
"104.909091","-36.1169447848873"
"105.272728","-36.2310416293529"
"105.636364","-36.3706024927068"
"106","-36.4900601588735"
"106.363637","-36.6162098513884"
"106.727273","-36.7796581578918"
"107.09091","-36.9006035987765"
"107.454546","-37.0425399081539"
"107.818182","-37.1571957104268"
"108.181819","-37.281075165208"
"108.545455","-37.3897664886042"
"108.909091","-37.5046207278676"
"109.272728","-37.6201407834006"
