"Title","SubTitle"
"Phase S11",""
"Parameter Name","Setting"
"Resolution:","551"
"CAL:","On, FlexCal"
"Dither: ","OFF"
"IFBW:","N/A"
"Smoothing %: ","OFF"
"Date:","Friday, May 19, 2017"
"Time:","11:56:37 AM"
"Model:","MS2024A"
"Serial:","847019"
"Prop.Vel:","1.000"
"Marker Data"
"Marker","Frequency(MHz)","Value"
"Limit Off"
"Point Data"
"Frequency(MHz)","Phase S11"
"50","-17.0842863914674"
"50.363637","-17.2045037273014"
"50.727273","-17.3369430642872"
"51.09091","-17.4555291263013"
"51.454546","-17.5632056600835"
"51.818182","-17.6849398364063"
"52.181819","-17.7982401031329"
"52.545455","-17.9220253067993"
"52.909091","-18.0501561171864"
"53.272728","-18.1775646115447"
"53.636364","-18.2901741123352"
"54","-18.4185708293661"
"54.363637","-18.5429764860773"
"54.727273","-18.6610471549455"
"55.09091","-18.7693985323668"
"55.454546","-18.8924334465363"
"55.818182","-19.0019881356727"
"56.181819","-19.137828338496"
"56.545455","-19.2462531074202"
"56.909091","-19.3868717410704"
"57.272728","-19.512622489667"
"57.636364","-19.6585408250872"
"58","-19.7813998160582"
"58.363637","-19.9066949929606"
"58.727273","-20.0150274960988"
"59.09091","-20.1490733063443"
"59.454546","-20.2631527759219"
"59.818182","-20.3898759551047"
"60.181819","-20.5133315693677"
"60.545455","-20.6318205158208"
"60.909091","-20.7610932275781"
"61.272728","-20.8881532584732"
"61.636364","-21.0186255309685"
"62","-21.1378307527025"
"62.363637","-21.2700044024083"
"62.727273","-21.3936651553987"
"63.09091","-21.5101163868195"
"63.454546","-21.6320771532721"
"63.818182","-21.7555930763051"
"64.181819","-21.869727577774"
"64.545455","-21.9962227766236"
"64.909091","-22.1010331898259"
"65.272728","-22.2235875367546"
"65.636364","-22.3404343195628"
"66","-22.4725835734049"
"66.363637","-22.6017965447458"
"66.727273","-22.7293211344934"
"67.09091","-22.8473122147966"
"67.454546","-22.9739042965468"
"67.818182","-23.090950537762"
"68.181819","-23.2256235095377"
"68.545455","-23.3396128657899"
"68.909091","-23.4684889026986"
"69.272728","-23.5787381561599"
"69.636364","-23.6947586753843"
"70","-23.8093022558217"
"70.363637","-23.9231133022992"
"70.727273","-24.0492803398971"
"71.09091","-24.1708992294396"
"71.454546","-24.2945947999927"
"71.818182","-24.4189986463994"
"72.181819","-24.5417630023058"
"72.545455","-24.6727786522101"
"72.909091","-24.8035960770753"
"73.272728","-24.9388645769877"
"73.636364","-25.0639374159816"
"74","-25.1989755541206"
"74.363637","-25.3326572503869"
"74.727273","-25.4549378096125"
"75.09091","-25.5890403942463"
"75.454546","-25.708451600617"
"75.818182","-25.8307743811716"
"76.181819","-25.9535984938401"
"76.545455","-26.0670308192107"
"76.909091","-26.19789571869"
"77.272728","-26.3086557376557"
"77.636364","-26.4544350220399"
"78","-26.567762272747"
"78.363637","-26.6792119702599"
"78.727273","-26.7874656082492"
"79.09091","-26.927214525743"
"79.454546","-27.0428316554612"
"79.818182","-27.1684008742969"
"80.181819","-27.3007311067503"
"80.545455","-27.4264217390464"
"80.909091","-27.5563130971455"
"81.272728","-27.6802716740254"
"81.636364","-27.801586979951"
"82","-27.9262453370904"
"82.363637","-28.0548551608804"
"82.727273","-28.1854008862575"
"83.09091","-28.3131456220615"
"83.454546","-28.4433624449062"
"83.818182","-28.5620896344683"
"84.181819","-28.7004527480974"
"84.545455","-28.8250432251531"
"84.909091","-28.9432501032609"
"85.272728","-29.0678917916578"
"85.636364","-29.1975231322342"
"86","-29.3215710550678"
"86.363637","-29.4477781009422"
"86.727273","-29.5681102771471"
"87.09091","-29.694801113769"
"87.454546","-29.8180372887019"
"87.818182","-29.9565749524467"
"88.181819","-30.085255269829"
"88.545455","-30.2065186300814"
"88.909091","-30.3466019689725"
"89.272728","-30.4753538315015"
"89.636364","-30.5889916055232"
"90","-30.7235042405802"
"90.363637","-30.8490596251563"
"90.727273","-30.9618261383173"
"91.09091","-31.091171490801"
"91.454546","-31.2146741365094"
"91.818182","-31.3378083973841"
"92.181819","-31.4619407842025"
"92.545455","-31.596437006231"
"92.909091","-31.7241185095062"
"93.272728","-31.8270089910827"
"93.636364","-31.9259911392294"
"94","-32.0569115846261"
"94.363637","-32.1865614575742"
"94.727273","-32.3055054379011"
"95.09091","-32.4185646610434"
"95.454546","-32.5334605828254"
"95.818182","-32.6446241948462"
"96.181819","-32.7674000877221"
"96.545455","-32.8855926382076"
"96.909091","-33.002353296636"
"97.272728","-33.1292105273941"
"97.636364","-33.2509150233065"
"98","-33.3569874673719"
"98.363637","-33.4730281192548"
"98.727273","-33.6081932309706"
"99.09091","-33.7462702482471"
"99.454546","-33.8618547925647"
"99.818182","-33.9757292798681"
"100.181819","-34.0961652576753"
"100.545455","-34.2273092370471"
"100.909091","-34.3429658829905"
"101.272728","-34.4634690125076"
"101.636364","-34.582124097571"
"102","-34.7131931339054"
"102.363637","-34.8334503766789"
"102.727273","-34.9434592440967"
"103.09091","-35.0464754833887"
"103.454546","-35.1774617248322"
"103.818182","-35.2951294936104"
"104.181819","-35.4018065045045"
"104.545455","-35.5236191983132"
"104.909091","-35.6467254730068"
"105.272728","-35.7644513767394"
"105.636364","-35.8782341127966"
"106","-36.0000701055747"
"106.363637","-36.1172741351975"
"106.727273","-36.2401235738049"
"107.09091","-36.3470346360351"
"107.454546","-36.4718655227399"
"107.818182","-36.568681814367"
"108.181819","-36.7048861757988"
"108.545455","-36.8251632861698"
"108.909091","-36.9540846477646"
"109.272728","-37.08068767369"
"109.636364","-37.2008298856343"
"110","-37.3238457630888"
"110.363637","-37.4582008159019"
"110.727273","-37.5760682301402"
"111.09091","-37.7040825586645"
"111.454546","-37.8281112021981"
"111.818182","-37.9410521565926"
"112.181819","-38.0687583624434"
"112.545455","-38.1963689203512"
"112.909091","-38.314237767998"
"113.272728","-38.4404481165785"
"113.636364","-38.5546985645551"
"114","-38.6731831669129"
"114.363637","-38.8004609236576"
"114.727273","-38.9226136803999"
"115.09091","-39.0568117187537"
"115.454546","-39.1741182537987"
"115.818182","-39.2964434048709"
"116.181819","-39.4220528414175"
"116.545455","-39.5566960398401"
"116.909091","-39.678219365142"
"117.272728","-39.7554782130839"
"117.636364","-39.9149361755401"
"118","-40.033731561533"
"118.363637","-40.1574607204917"
"118.727273","-40.2740020218827"
"119.09091","-40.4242224839212"
"119.454546","-40.5168251957138"
"119.818182","-40.6405185560008"
"120.181819","-40.7612358721157"
"120.545455","-40.8771361802452"
"120.909091","-40.9961899879847"
"121.272728","-41.1099812395334"
"121.636364","-41.216957827259"
"122","-41.3545041076512"
"122.363637","-41.4689794954305"
"122.727273","-41.5921691418654"
"123.09091","-41.7147282122243"
"123.454546","-41.8212860247904"
"123.818182","-41.9398789455648"
"124.181819","-42.0697904064158"
"124.545455","-42.1846669697314"
"124.909091","-42.3013913996428"
"125.272728","-42.4241386597211"
"125.636364","-42.5459630708867"
"126","-42.6560272430019"
"126.363637","-42.779862721674"
"126.727273","-42.9026495886296"
"127.09091","-43.0340153119836"
"127.454546","-43.1406447875576"
"127.818182","-43.278918983919"
"128.181819","-43.3867078442369"
"128.545455","-43.5181737760769"
"128.909091","-43.6324544753622"
"129.272728","-43.7503216203545"
"129.636364","-43.8824153028969"
"130","-44.0119246562024"
"130.363637","-44.1273054146052"
"130.727273","-44.2515292209271"
"131.09091","-44.3678702012993"
"131.454546","-44.4811701437201"
"131.818182","-44.6086514896552"
"132.181819","-44.7355680743748"
"132.545455","-44.8518524321001"
"132.909091","-44.9658608546441"
"133.272728","-45.0949611288696"
"133.636364","-45.2183841394223"
"134","-45.3371464833915"
"134.363637","-45.4633539463529"
"134.727273","-45.576693220011"
"135.09091","-45.7063617563751"
"135.454546","-45.8268605750749"
"135.818182","-45.9487419007482"
"136.181819","-46.064038563451"
"136.545455","-46.1874377768816"
"136.909091","-46.2960097749567"
"137.272728","-46.4233279063743"
"137.636364","-46.5548131517157"
"138","-46.6717977522841"
"138.363637","-46.7893862913312"
"138.727273","-46.9030241647764"
"139.09091","-47.0273422554674"
"139.454546","-47.1501081924035"
"139.818182","-47.2693570196525"
"140.181819","-47.3878974173949"
"140.545455","-47.5101887719233"
"140.909091","-47.642173902464"
"141.272728","-47.7724510313533"
"141.636364","-47.8948466469462"
"142","-48.0259985009185"
"142.363637","-48.1487236120903"
"142.727273","-48.2694291755699"
"143.09091","-48.3914554632112"
"143.454546","-48.5263056933632"
"143.818182","-48.6255237195762"
"144.181819","-48.7684033444165"
"144.545455","-48.8857634468993"
"144.909091","-49.021059134978"
"145.272728","-49.1398907353335"
"145.636364","-49.2809781021622"
"146","-49.4067483612128"
"146.363637","-49.5317259928274"
"146.727273","-49.673260815934"
"147.09091","-49.7863338720105"
"147.454546","-49.9092185181056"
"147.818182","-50.0392226368072"
"148.181819","-50.1736962656036"
"148.545455","-50.3063703646159"
"148.909091","-50.42718087518"
"149.272728","-50.5422413148833"
"149.636364","-50.6755478418581"
