"Title","SubTitle"
"Phase S11",""
"Parameter Name","Setting"
"Resolution:","551"
"CAL:","On, FlexCal"
"Dither: ","OFF"
"IFBW:","N/A"
"Smoothing %: ","OFF"
"Date:","Friday, May 19, 2017"
"Time:","12:51:54 PM"
"Model:","MS2024A"
"Serial:","847019"
"Prop.Vel:","1.000"
"Marker Data"
"Marker","Frequency(MHz)","Value"
"Limit Off"
"Point Data"
"Frequency(MHz)","Phase S11"
"50","-16.6522829976771"
"50.363637","-16.8033181336629"
"50.727273","-16.9607072035057"
"51.09091","-17.0836892337287"
"51.454546","-17.2297953057414"
"51.818182","-17.3667572962145"
"52.181819","-17.4869093121326"
"52.545455","-17.6194453044792"
"52.909091","-17.7393480152197"
"53.272728","-17.8667012635943"
"53.636364","-18.0303688276321"
"54","-18.1650161333666"
"54.363637","-18.2952233951473"
"54.727273","-18.4254509459647"
"55.09091","-18.5699351130924"
"55.454546","-18.7309938337581"
"55.818182","-18.8808906773043"
"56.181819","-19.0342244093852"
"56.545455","-19.192689819952"
"56.909091","-19.3404629271655"
"57.272728","-19.4867304649151"
"57.636364","-19.6415478071607"
"58","-19.7899421011128"
"58.363637","-19.9239055924998"
"58.727273","-20.0404209606682"
"59.09091","-20.1882612263659"
"59.454546","-20.3184664032654"
"59.818182","-20.4475107560991"
"60.181819","-20.5540252985875"
"60.545455","-20.6753489416827"
"60.909091","-20.8045396324141"
"61.272728","-20.9201158018927"
"61.636364","-21.0355526408617"
"62","-21.1673021988329"
"62.363637","-21.2863313136402"
"62.727273","-21.382176952185"
"63.09091","-21.4746475377487"
"63.454546","-21.5447860828657"
"63.818182","-21.6390286681959"
"64.181819","-21.7098387619984"
"64.545455","-21.7799874294752"
"64.909091","-21.8929979980003"
"65.272728","-21.9730700336866"
"65.636364","-22.0808933068249"
"66","-22.1531587988622"
"66.363637","-22.2466000132795"
"66.727273","-22.360853857217"
"67.09091","-22.4629823673502"
"67.454546","-22.5822330663256"
"67.818182","-22.7109243740902"
"68.181819","-22.8334557778595"
"68.545455","-22.9577659165683"
"68.909091","-23.0706664951382"
"69.272728","-23.1786728502205"
"69.636364","-23.2861111243429"
"70","-23.3885010606989"
"70.363637","-23.5220283715455"
"70.727273","-23.6486497082381"
"71.09091","-23.781059608204"
"71.454546","-23.9149675897883"
"71.818182","-24.0206791198487"
"72.181819","-24.1687861259193"
"72.545455","-24.3107310813578"
"72.909091","-24.4506611445741"
"73.272728","-24.5991685852004"
"73.636364","-24.7365477796444"
"74","-24.8719137958251"
"74.363637","-25.0151813425947"
"74.727273","-25.1272525386467"
"75.09091","-25.2367824755213"
"75.454546","-25.3607756476287"
"75.818182","-25.4730753126615"
"76.181819","-25.5895396084603"
"76.545455","-25.7240472114066"
"76.909091","-25.8547125481817"
"77.272728","-25.9628618633033"
"77.636364","-26.1082301122253"
"78","-26.2110981548161"
"78.363637","-26.3785495389032"
"78.727273","-26.504899612156"
"79.09091","-26.6831360802275"
"79.454546","-26.8312717622849"
"79.818182","-26.9728498646029"
"80.181819","-27.1229741692235"
"80.545455","-27.2362755242416"
"80.909091","-27.3650468888657"
"81.272728","-27.4872936375682"
"81.636364","-27.6380959194732"
"82","-27.7680718252035"
"82.363637","-27.9071152726065"
"82.727273","-28.0305891255257"
"83.09091","-28.1594247906372"
"83.454546","-28.2890194952825"
"83.818182","-28.4130895759452"
"84.181819","-28.5297891450582"
"84.545455","-28.6643793686414"
"84.909091","-28.7928326327008"
"85.272728","-28.8997002794755"
"85.636364","-29.0109185244455"
"86","-29.0942669109218"
"86.363637","-29.1877530578976"
"86.727273","-29.2929018486366"
"87.09091","-29.3996483761036"
"87.454546","-29.4782113824697"
"87.818182","-29.5769936092714"
"88.181819","-29.6718856392282"
"88.545455","-29.7675318812145"
"88.909091","-29.8522567836673"
"89.272728","-29.9645838705772"
"89.636364","-30.0834193422158"
"90","-30.2106595069775"
"90.363637","-30.354435596383"
"90.727273","-30.4772767444652"
"91.09091","-30.6183713186805"
"91.454546","-30.7142781504418"
"91.818182","-30.802782928464"
"92.181819","-30.9289820503654"
"92.545455","-31.0446576041416"
"92.909091","-31.1954221638307"
"93.272728","-31.3304390374631"
"93.636364","-31.4625806915807"
"94","-31.6078765292556"
"94.363637","-31.7428293727561"
"94.727273","-31.8906023037283"
"95.09091","-32.0317526488201"
"95.454546","-32.1881526525132"
"95.818182","-32.3278203047232"
"96.181819","-32.4715022057308"
"96.545455","-32.6113649825859"
"96.909091","-32.7315694873301"
"97.272728","-32.8341015821547"
"97.636364","-32.9546819993369"
"98","-33.0586366919231"
"98.363637","-33.1836605691262"
"98.727273","-33.3005817427238"
"99.09091","-33.3959227062088"
"99.454546","-33.4701799586062"
"99.818182","-33.5644887152067"
"100.181819","-33.6781038713955"
"100.545455","-33.7674444631661"
"100.909091","-33.8971331280416"
"101.272728","-33.9982223680132"
"101.636364","-34.1124886698394"
"102","-34.2235921605109"
"102.363637","-34.3234685890368"
"102.727273","-34.3963703567647"
"103.09091","-34.4537161689129"
"103.454546","-34.5224707989205"
"103.818182","-34.6406054331983"
"104.181819","-34.7152216375129"
"104.545455","-34.8151556287786"
"104.909091","-34.9208162256122"
"105.272728","-35.0244160874585"
"105.636364","-35.1217304701525"
"106","-35.2204817399319"
"106.363637","-35.3397988086584"
"106.727273","-35.4570717338097"
"107.09091","-35.5881610784572"
"107.454546","-35.699886690323"
"107.818182","-35.8297808634424"
"108.181819","-35.9610908138982"
"108.545455","-36.0640380524874"
"108.909091","-36.1932857303575"
"109.272728","-36.3351706365141"
"109.636364","-36.457053293807"
"110","-36.6079974267981"
"110.363637","-36.7668985961231"
"110.727273","-36.9007352513276"
"111.09091","-37.0351087985879"
"111.454546","-37.1797659642834"
"111.818182","-37.3495147953635"
"112.181819","-37.5188540052552"
"112.545455","-37.7259993180758"
"112.909091","-37.904069525342"
"113.272728","-38.0907027011015"
"113.636364","-38.2612661874882"
"114","-38.4118224825734"
"114.363637","-38.6050454306975"
"114.727273","-38.7654754860719"
"115.09091","-38.9415813064975"
"115.454546","-39.1195099802503"
"115.818182","-39.2796909788299"
"116.181819","-39.4729484141007"
"116.545455","-39.6216729659228"
"116.909091","-39.7741560366434"
"117.272728","-39.8831744941928"
"117.636364","-40.0809768896559"
"118","-40.2494265549803"
"118.363637","-40.408394548577"
"118.727273","-40.5675615640148"
"119.09091","-40.7384286216475"
"119.454546","-40.8779642982453"
"119.818182","-41.0022915010842"
"120.181819","-41.1005904984596"
"120.545455","-41.2246255801796"
"120.909091","-41.3566435048019"
"121.272728","-41.4884499605404"
"121.636364","-41.5753572342467"
"122","-41.6905598176185"
"122.363637","-41.7821910293329"
"122.727273","-41.8484159756864"
"123.09091","-41.9479605019173"
"123.454546","-42.0369310785774"
"123.818182","-42.150407768049"
"124.181819","-42.239396021052"
"124.545455","-42.3552772853155"
"124.909091","-42.4536239629398"
"125.272728","-42.5264164430075"
"125.636364","-42.6205598580407"
"126","-42.7117830013925"
"126.363637","-42.8041828489503"
"126.727273","-42.8859975326077"
"127.09091","-42.9789507939444"
"127.454546","-43.0692072767221"
"127.818182","-43.1510058060687"
"128.181819","-43.2206545030557"
"128.545455","-43.3071983871126"
"128.909091","-43.3856393883745"
"129.272728","-43.5013680600209"
"129.636364","-43.6074116465741"
"130","-43.7239198966889"
"130.363637","-43.8393854777916"
"130.727273","-43.9250700927658"
"131.09091","-44.0374103572041"
"131.454546","-44.1249403991173"
"131.818182","-44.2207241456731"
"132.181819","-44.326507674165"
"132.545455","-44.4240755141026"
"132.909091","-44.5473183378685"
"133.272728","-44.6574783362952"
"133.636364","-44.7400639399235"
"134","-44.8560230012199"
"134.363637","-44.9464261497622"
"134.727273","-45.0607403961577"
"135.09091","-45.1823234910904"
"135.454546","-45.3088782811199"
"135.818182","-45.4398066955819"
"136.181819","-45.5842796406349"
"136.545455","-45.6819440587042"
"136.909091","-45.8021146017394"
"137.272728","-45.9236918558839"
"137.636364","-46.0389281176372"
"138","-46.200723753204"
"138.363637","-46.3278071314411"
"138.727273","-46.4345948678554"
"139.09091","-46.5839971740774"
"139.454546","-46.6862877902201"
"139.818182","-46.8024067990618"
"140.181819","-46.9221085338115"
"140.545455","-47.0330715107994"
"140.909091","-47.1883531890569"
"141.272728","-47.2923072681572"
"141.636364","-47.407390280336"
"142","-47.5194801399967"
"142.363637","-47.6220068374221"
"142.727273","-47.7285309941211"
"143.09091","-47.8200137584776"
"143.454546","-47.9344310466965"
"143.818182","-48.0310487875061"
"144.181819","-48.1398419661329"
"144.545455","-48.2364757846316"
"144.909091","-48.3194642415354"
"145.272728","-48.416811533964"
"145.636364","-48.4968648862356"
"146","-48.6142861874165"
"146.363637","-48.7424513252896"
"146.727273","-48.8572173534626"
"147.09091","-48.9991988654629"
"147.454546","-49.1295720383882"
"147.818182","-49.2315581202584"
"148.181819","-49.3905689419889"
"148.545455","-49.5057983961413"
"148.909091","-49.6474767377056"
"149.272728","-49.8126085089009"
